field_variance,field_range,subDomains,meshNodes,beta0.true,RMSE_MeshExact,RMSE_Voronoi,RMSE_DualMesh,RMSE_DualMeshExtra,RMSE_DualMeshExtraMeshMapped,RMSE_BarycentricPointSpread,RMSE_BarycentricPointSpreadManyPoints,RMSE_AvgApproxMethods,bias_MeshExact,bias_Voronoi,bias_DualMesh,bias_DualMeshExtra,bias_DualMeshExtraMeshMapped,bias_BarycentricPointSpread,bias_BarycentricPointSpreadManyPoints,bias_AvgApproxMethods,sd_MeshExact,sd_Voronoi,sd_DualMesh,sd_DualMeshExtra,sd_DualMeshExtraMeshMapped,sd_BarycentricPointSpread,sd_BarycentricPointSpreadManyPoints,sd_AvgApproxMethods
0.5,0.25,2,183,0,0.278768201819269,0.271328631711688,0.271680277632626,0.272972154915226,0.271589500662607,0.271243357789736,0.271943352094889,0.271551456027561,-0.278598255183874,-0.271133718360234,-0.271509088445693,-0.27279683160595,-0.271412186832848,-0.271065790931847,-0.271766199324726,-0.27137739677907,0.016562460488465,0.0180523330735321,0.0177721263486105,0.016811242660576,0.0168509265792399,0.0168508839330796,0.0168473754918219,0.0171951383621248
0.5,0.25,2,359,0,0.272991316826616,0.258125334679941,0.258712776657145,0.260483539431421,0.25857346000473,0.259906727193591,0.258529044235274,0.258763803257727,-0.272845333559904,-0.257946443585689,-0.258559491909483,-0.260327827006934,-0.258415765089488,-0.25974958430498,-0.258371334005842,-0.258608523779097,0.0169472268659382,0.018892572303562,0.0184454239501734,0.0175040408249106,0.0175534957768253,0.0175378132103786,0.0175538083169697,0.0179240975830872
0.5,0.25,2,1179,0,0.245356332411123,0.194868980180693,0.196680460393825,0.199269930783148,0.196623057294215,0.196658901963333,0.196576175421833,0.196276528549086,-0.245242458855768,-0.194667646218333,-0.196515326713369,-0.1991084312076,-0.196457296876068,-0.196493148726312,-0.196410379747792,-0.196108759656375,0.017767775816184,0.0202603385027166,0.0199130362261604,0.0196615006839373,0.0197256092158262,0.0197246165131035,0.0197258200533194,0.0198221696016227
0.5,0.25,2,4324,0,0.176341481104529,0.0541225879032412,0.0569761729815346,0.0606671507544603,0.0569919160750421,0.0570664593280297,0.0569717245178615,0.0564126177484766,-0.176275334869322,-0.0535867048853453,-0.0565562103383405,-0.0602866170147537,-0.0565774768263684,-0.0566525898341233,-0.0565571256363238,-0.0559860215041003,0.0193910965832061,0.0237667343102214,0.0234818531765285,0.0232890637917356,0.0233701853377336,0.0233681185799544,0.0233702925782892,0.0234427104205844
0.5,0.25,2,16429,0,0.0870863034666554,0.0697177824208995,0.0676187838075822,0.0652015073579843,0.0676163920991166,0.0675915865712058,0.0676105932650831,0.0680274825650438,-0.0870593623471017,0.0695336656182655,0.0674509127756043,0.0650320558529895,0.067450575423643,0.0674257047065214,0.0674447665343713,0.0678611250116811,0.0212315429723207,0.0251705886671298,0.0250855481937624,0.025016763084386,0.0250454545867116,0.0250452012999696,0.0250453857697543,0.0250686252642302
0.5,0.25,8,126,0,0.281109796242835,0.27658922713628,0.276828267547468,0.278558682247455,0.276809145784192,0.275762336902509,0.27805203760084,0.276799903936627,-0.280841032944066,-0.276303598483412,-0.276561636150513,-0.278286881039836,-0.276534416536529,-0.275486462622463,-0.277778329184957,-0.276532888595575,0.0151568503899648,0.0176684299273628,0.0176306099118846,0.0152424729049498,0.0152951715767108,0.0152913604594025,0.0152819755084052,0.0161329127518828
0.5,0.25,8,183,0,0.278994982025371,0.27155596222262,0.271939511612424,0.274456948460733,0.271877135369251,0.2751114567203,0.27209192298792,0.272507439162476,-0.278770768577497,-0.27130938887038,-0.271718360680723,-0.274229509177427,-0.271646271846096,-0.274882810121297,-0.271861186674732,-0.272283603638646,0.0156923655509374,0.0181289860335905,0.0177016987851412,0.0158663175533293,0.015940910050377,0.0159095279954464,0.0159375396396984,0.0166260435011418
0.5,0.25,8,359,0,0.272918952425553,0.257627545544418,0.258287710598988,0.261586911293807,0.258231179302352,0.258114911571319,0.257927499546505,0.258030727961746,-0.272733762744844,-0.257406501770291,-0.258094732894497,-0.261391483223702,-0.258031261082398,-0.257914870243052,-0.257727365847631,-0.257834946367574,0.0162148021001935,0.0185008612246622,0.0179844142319378,0.0166685987880552,0.0167618143430008,0.0167610319741221,0.0167637666541149,0.0172654908840844
0.5,0.25,8,1179,0,0.245752390826415,0.195797393107877,0.197427095976889,0.202506156704317,0.197001535154014,0.198004959080711,0.197327931879667,0.197106609773164,-0.245626745351291,-0.195591142033054,-0.197253136637792,-0.202339342399997,-0.196825746275727,-0.19782999791495,-0.197152455592289,-0.196930495690762,0.0173715009545932,0.019955523234667,0.0196875630733622,0.0191518218917876,0.0192953482882171,0.0192852953267906,0.0192940503127204,0.0194535453694709
0.5,0.25,8,4324,0,0.177340036921083,0.0558776270072237,0.0589493503594517,0.0658199513198808,0.0589340205957931,0.0591431980392133,0.0588930361975333,0.0583449723918273,-0.177271337360242,-0.0553425513463551,-0.0585354971152542,-0.0654729031498316,-0.0585300770367634,-0.0587407709319531,-0.0584887596713453,-0.0579275312203342,0.0190645654160901,0.0234370809562999,0.0231596220466427,0.0227841852370803,0.0229264246955273,0.0229224023321283,0.0229268092644801,0.0230415660009199
0.5,0.25,8,16429,0,0.0875770606196334,0.0692818349985624,0.0671820879516391,0.0624776167892532,0.0671778228122545,0.0671653144052995,0.0671681932957384,0.067591298276052,-0.0875500967249101,0.0690968462589804,0.067009994842582,0.0623025213939226,0.0670098102784501,0.0669972852676265,0.0670001632410096,0.0674228199777297,0.0209349837027788,0.024900311724361,0.0248306145655306,0.0246821633978995,0.0247469376011081,0.0247465557140612,0.0247467096123962,0.0247838545390211
0.5,0.25,32,126,0,0.281515595128922,0.277030242436092,0.277303689886041,0.280032404096045,0.277194830029809,0.277059946366363,0.278864249321809,0.277485363584286,-0.281083070404353,-0.276572012583924,-0.276859517857307,-0.279597686984519,-0.276754415216859,-0.27661918439615,-0.278426219030708,-0.27704626981699,0.0123416339873907,0.0133094096557593,0.0137149882325209,0.0123772968015696,0.0124716113886001,0.0124691101190693,0.012455451048966,0.0127821412781678
